icd10,doid  
Q78.0,0110349
Q78.0,0110350
Q78.0,0110351
H35.5,0110352
H35.5,0110353
H35.5,0110354
H35.5,0110355
H35.5,0110356
H35.5,0110357
H35.5,0110358
H35.5,0110359
H35.5,0110360
H35.5,0110361
H35.5,0110362
H35.5,0110363
H35.5,0110364
H35.5,0110365
H35.5,0110366
H35.5,0110367
H35.5,0110368
H35.5,0110369
H35.5,0110370
H35.5,0110371
H35.5,0110372
H35.5,0110373
H35.5,0110374
H35.5,0110375
H35.5,0110376
H35.5,0110377
H35.5,0110378
H35.5,0110379
H35.5,0110380
H35.5,0110381
H35.5,0110382
H35.5,0110383
H35.5,0110384
H35.5,0110385
H35.5,0110386
H35.5,0110387
H35.5,0110388
H35.5,0110389
H35.5,0110390
H35.5,0110391
H35.5,0110392
H35.5,0110393
H35.5,0110394
H35.5,0110395
H35.5,0110396
H35.5,0110397
H35.5,0110398
H35.5,0110399
H35.5,0110400
H35.5,0110401
H35.5,0110402
H35.5,0110403
H35.5,0110404
H35.5,0110405
H35.5,0110406
H35.5,0110407
H35.5,0110408
H35.5,0110409
H35.5,0110410
H35.5,0110411
H35.5,0110412
H35.5,0110413
H35.5,0110414
H35.5,0110415
H35.5,0110416
H35.5,0110417
H35.5,0110418
H35.5,0110419
H35.5,0110420
H35.5,0110421
H35.5,0110422
I42.0,0110423
I42.0,0110424
I42.0,0110426
I42.0,0110427
I42.0,0110428
I42.0,0110429
I42.0,0110430
I42.0,0110431
I42.0,0110432
I42.0,0110433
I42.0,0110434
I42.0,0110435
I42.0,0110436
I42.0,0110437
I42.0,0110438
I42.0,0110439
I42.0,0110441
I42.0,0110442
I42.0,0110443
I42.0,0110444
I42.0,0110445
I42.0,0110446
I42.0,0110447
I42.0,0110448
I42.0,0110449
I42.0,0110450
I42.0,0110451
I42.0,0110452
I42.0,0110453
I42.0,0110454
I42.0,0110455
I42.0,0110456
I42.0,0110457
I42.0,0110458
I42.0,0110459
I42.0,0110460
I42.0,0110461
H90.3,0110462
H90.3,0110463
H90.3,0110464
H90.3,0110465
H90.3,0110467
H90.3,0110468
H90.3,0110469
H90.3,0110470
H90.3,0110471
H90.3,0110472
H90.3,0110473
H90.3,0110474
H90.3,0110475
H90.3,0110476
H90.3,0110477
H90.3,0110478
H90.3,0110479
H90.3,0110480
H90.3,0110481
H90.3,0110482
H90.3,0110483
H90.3,0110484
