icd10,doid
E85.3,0080936
I42.6,12935
B83.0,9790
E21.5,11201
I45.6,384
J60,10327
G57.3,6925
M60.1,9788
R73.9,4195
Q25.3,1929
B37.2,14512
D57.2,10923
A79.1,11103
K83.2,13409
M14.6,14286
C04.1,8618
E67.3,9971
B39.4,1759
C81.1,8838
D69.8,0111057
H34.1,13098
L65.2,9905
B60.8,4271
G51.0,13934
K14.2,14111
A50.5,10039
C91.1,1703
M91.2,14415
M86.3,0060645
Q77.7,0090032
K90.1,10607
Q77.5,14687
N80.4,11431
G56.3,12170
S12.8,786
Q61.5,12712
R48.8,4540
N88.4,2251
Q79.1,10480
C93.3,0050458
C66,11819
B83.1,11379
B85.0,5501
B70.1,10080
L30.9,2723
Q26.8,4297
G57.6,12524
Q24.0,9565
N48.0,8738
Q82.1,0110850
G31.0,0060672
J37.0,11797
Q87.1,0060609
Q04.2,4621
H04.2,13757
C92.4,0060318
I71.3,3627
M77.3,210
C24.1,10020
B88.9,7894
P60,11246
C02.4,8649
L74.9,1383
G52.3,13814
E34.8,3911
L23.0,0040056
N32.3,11353
A71.1,11265
K82.4,10254
N49.0,9365
K05.3,824
R41.3,10914
A71.0,11265
C81.2,8654
D19.9,746
Q04.3,4626
L57.0,8866
F60.2,10939
C18.4,261
N39.0,0080784
G40.3,0060170
Q93.2,0070620
M45,7147
J98.6,10481
E51.1,13725
Q15.0,11212
I42.0,12930
Q84.2,0111060
T78.3,1558
A83.4,10842
D59.6,0060284
N13.9,5200
L82,6498
M94.2,2557
F44.0,11037
L92.0,3777
C71.6,4205
C63.9,3856
H05.0,11230
C75.3,5032
L83,3138
M35.6,1525
K05.0,3087
Q89.3,758
H52.5,10034
H10.5,2456
I40.1,10778
C95.0,9953
J64,10316
N75.0,851
L51.1,0050426
E72.3,9274
B55.1,9111
N10,559
K83.0,9446
C15.5,5041
D80.5,0080544
H60.4,9462
M22.4,13357
E16.9,13317
C58,3594
C75.1,1785
Q43.1,10487
C25.4,1799
G56.2,12168
G60.2,0090115
F39,3324
I40.0,10779
E88.2,3928
Q24.9,1682
K11.6,12904
F20.0,1229
N50.9,48
I05.1,61
F64.2,1234
H31.0,11086
C19,2782
G24.5,529
N80.6,11430
F60.3,12401
D09.2,8792
H47.4,5655
C22.0,684
K14.1,1455
Q31.5,0080833
M35.0,12894
A83.0,10844
K76.3,13738
B55.2,9155
H15.0,13452
C10.2,8557
C69.6,4143
Q14.2,11975
C67.2,11593
A22.2,13386
E13,0090060
C32.1,13476
C69.2,4645
N30.1,1678
D04.2,8687
H00.1,9903
K29.4,8929
C90.3,3721
C72.2,370
D55.0,13628
J11.1,8469
L12.2,8507
F40.2,599
A01.2,3055
C31.2,1360
D72.9,9500
M60.0,876
C90.2,3720
A83.3,10845
C30.0,10811
H40.2,1405
C56,2394
M30.3,13378
J01.3,13046
Q78.1,1858
I10,10825
L98.4,8549
C09.1,8688
N89.8,3766
D59.3,12554
B85.2,5502
F84.3,13487
A04.7,0060185
G24.1,0090058
K59.0,2089
E78.0,0090105
C03.1,9125
D53.0,13120
M30.0,9810
G54.5,3689
C88.2,0060125
D81.5,5813
N76.2,3901
Q20.3,0060772
B06.9,8781
D81.2,0090014
A96.2,9537
J18.0,12375
E75.5,14497
H02.1,1570
Q24.6,990
A77.1,14095
Q13.0,12270
C17.0,10021
B65.2,0050597
M75.0,14188
Q28.2,0060688
A81.9,649
C94.2,8761
C68.1,14059
E41,12328
D75.9,74
M72.9,9598
J16.0,0040083
G43.0,12783
D72.1,999
J15.9,874
Q93.4,12580
N64.9,3463
D02.3,6148
M43.1,6682
L70.2,6543
K03.5,12661
B08.2,0050495
Q74.8,0090067
F65.3,10834
D61.0,1342
F63.0,12399
L85.2,3390
K04.1,11623
L50.3,743
R41.1,5340
C46.2,8632
H93.3,12657
E20.8,0090109
H18.6,10126
I71.8,3627
A02.0,0060859
A24.0,13444
C92.0,9119
N80.1,11432
M93.2,84
L98.1,9165
M89.0,14022
B81.1,12474
C02.1,8649
G62.0,14184
D04.6,8687
G31.8,0050629
N30.2,1680
I67.5,13099
M12.0,13080
F41.0,594
N85.7,9958
F65.0,1235
B72,14418
K59.1,11371
E71.1,0090126
L08.0,4223
G23.1,678
K86.8,26
I89.0,0070213
E10,9744
Q78.9,2256
Q85.0,8712
Q82.0,0070212
E70.3,0110949
N20.1,14146
J04.0,9396
E80.0,13271
A75.3,13371
A98.4,4325
A81.0,11949
E50.7,10138
Q44.7,9245
I27.1,12325
C76.1,5093
H66.2,14248
N36.9,732
P37.1,13336
Q30.0,9574
K09.8,2658
P59.9,2383
Q61.9,0070122
C11.3,9261
C92.2,0060597
G57.2,4196
C21.1,14110
C41.1,2338
L44.1,8573
A21.1,13226
L74.1,0070321
A93.1,11360
A87.2,12155
H35.3,2007
B73,11678
E89.0,1458
N88.0,9043
L95.0,0040099
Q80.0,1702
A03.0,12385
J96.0,11162
F81.9,8927
E78.5,1168
A94,934
C83.8,0081307
C25.0,1793
C15.3,5041
C16.1,10538
N21.0,11355
F63.2,12400
L94.0,8472
A67.2,1022
A66.1,10567
C81.4,8543
F60.7,10931
G72.9,423
D47.1,4960
C71.3,14384
N88.3,9681
D25.0,13222
F41.9,2030
J93.1,1673
Q13.8,0110122
J67.1,12522
D25.1,13955
G56.0,12169
G31.9,1289
C72.0,5612
M12.8,2092
E50.8,2734
C21.0,14110
A98.2,11320
H44.2,11829
G21.0,14464
G25.9,13839
A48.0,9159
C38.0,117
E06.1,7165
C16.4,10544
P57.0,12043
C54.1,1380
O41.0,12215
F65.2,10236
A01.3,3055
F52.6,11120
C31.0,1357
L21.0,8941
K59.9,9779
L74.0,11153
P27.1,11650
I78.0,1270
N15.9,782
Q35.9,0110213
H50.8,540
G24.8,0090054
U07.1,0080600
C16.0,10548
I42.3,396
I71.9,3627
D04.7,8687
E75.3,1927
G52.2,12491
C24.0,4606
D17.9,3315
P28.5,11161
H66.9,10754
E26.8,0110147
K70.3,14018
N83.2,5119
C48.1,1725
I20.0,8805
N94.3,727
T75.3,2951
C37,3277
D71,3265
M75.4,14276
A31.1,0050456
I24.1,10507
